mean_cost,mean_impr_pct,mean_time,variant
69.2,3.5178952113738244,0.001639647749470896,Hill_restarts=1
66.55,7.013240655102424,0.08642864510020445,Hill_restarts=10
67.2,5.999000782166675,0.08085081150056794,SA_greedy_start
67.5,5.56411613628471,0.07663559449956665,SA_random_start
