cols,cost_matrix_time,expanded_total,greedy_cost,greedy_feasible,greedy_time,heuristic,hill_cost,hill_feasible,hill_impr_pct,hill_time,n_parcels,n_stops,obstacle_prob,rows,sa_cost,sa_feasible,sa_impr_pct,sa_time,seed,status,warnings
25,0.01707055500082788,6888,144.0,True,3.648900019470602e-05,manhattan,136.0,True,5.555555555555555,0.05427569899984519,7,15,0.2,25,126.0,True,12.5,0.04054564800026128,42,success,[]
25,0.010101462998136412,5048,115.0,True,3.0662002245662734e-05,manhattan,103.0,True,10.434782608695652,0.05522695599938743,7,15,0.2,25,112.0,True,2.608695652173913,0.050640670997381676,43,success,[]
25,0.01506451600289438,7319,136.0,True,3.1978997867554426e-05,manhattan,126.0,True,7.352941176470589,0.05225102400072501,7,15,0.2,25,136.0,True,0.0,0.040304499001649674,44,success,[]
25,0.015067518001160352,7804,130.0,True,3.276799907325767e-05,manhattan,128.0,True,1.5384615384615385,0.052905552001902834,7,15,0.2,25,130.0,True,0.0,0.04750157500166097,45,success,[]
25,0.014395074002095498,7349,179.0,True,3.178100087097846e-05,manhattan,171.0,True,4.4692737430167595,0.05208121699979529,7,15,0.2,25,163.0,True,8.938547486033519,0.04520423999929335,46,success,[]
25,0.011708605001331307,6068,146.0,True,3.07869995594956e-05,manhattan,139.0,True,4.794520547945205,0.05526913100038655,7,15,0.2,25,142.0,True,2.73972602739726,0.038004953999916324,47,success,[]
25,0.010976489997119643,5493,100.0,True,3.629500133683905e-05,manhattan,98.0,True,2.0,0.05300647100011702,7,15,0.2,25,98.0,True,2.0,0.039137584000854986,48,success,[]
25,0.017002460001094732,8456,166.0,True,3.7989000702509657e-05,manhattan,166.0,True,0.0,0.05023996500312933,7,15,0.2,25,166.0,True,0.0,0.03636420700058807,49,success,[]
25,0.013186370000767056,6544,152.0,True,3.37390010827221e-05,manhattan,136.0,True,10.526315789473683,0.04969681999864406,7,15,0.2,25,152.0,True,0.0,0.03718636000121478,50,success,[]
25,0.01421358399966266,7108,164.0,True,3.090200334554538e-05,manhattan,155.0,True,5.487804878048781,0.05241902499983553,7,15,0.2,25,141.0,True,14.02439024390244,0.04432220400121878,51,success,[]
25,0.01773354499891866,6982,136.0,True,4.3128002289449796e-05,manhattan,135.0,True,0.7352941176470588,0.06517283399807638,7,15,0.2,25,136.0,True,0.0,0.07288713800153346,52,success,[]
25,0.020929108002746943,5831,191.0,True,4.890000127488747e-05,manhattan,149.0,True,21.98952879581152,0.07215693899706821,7,15,0.2,25,145.0,True,24.083769633507853,0.07310038299692678,53,success,[]
25,0.016139471998030785,4634,117.0,True,5.879099990124814e-05,manhattan,117.0,True,0.0,0.08122793199800071,7,15,0.2,25,117.0,True,0.0,0.07416989400007878,54,success,[]
25,0.025189594001858495,6675,143.0,True,6.497000140370801e-05,manhattan,125.0,True,12.587412587412588,0.09041430500292336,7,15,0.2,25,139.0,True,2.797202797202797,0.06756413900075131,55,success,[]
25,0.02919456900053774,7743,181.0,True,6.275499981711619e-05,manhattan,152.0,True,16.022099447513813,0.09286452299784287,7,15,0.2,25,144.0,True,20.441988950276244,0.08422690799852717,56,success,[]
25,0.030161668000801,7588,134.0,True,7.060600182740018e-05,manhattan,134.0,True,0.0,0.11233030700168456,7,15,0.2,25,134.0,True,0.0,0.11208754000108456,57,success,[]
25,0.027732341997761978,6180,173.0,True,7.80990012572147e-05,manhattan,131.0,True,24.277456647398843,0.11136966699996265,7,15,0.2,25,139.0,True,19.653179190751445,0.08284112700130208,58,success,[]
25,0.03360213400083012,7314,139.0,True,7.405799988191575e-05,manhattan,137.0,True,1.4388489208633095,0.13070749499820522,7,15,0.2,25,139.0,True,0.0,0.11181338099777349,59,success,[]
25,0.03949515500062262,7824,153.0,True,7.776300117257051e-05,manhattan,145.0,True,5.228758169934641,0.12525207300132024,7,15,0.2,25,145.0,True,5.228758169934641,0.09862964499916416,60,success,[]
25,0.032952158002444776,6624,165.0,True,7.946800178615376e-05,manhattan,139.0,True,15.757575757575756,0.12389424999855692,7,15,0.2,25,151.0,True,8.484848484848486,0.13161656800002675,61,success,[]
25,0.02749385399874882,4756,151.0,True,8.476199946017005e-05,manhattan,122.0,True,19.205298013245034,0.15628629999991972,7,15,0.2,25,129.0,True,14.56953642384106,0.10905866800021613,62,success,[]
25,0.042773052999109495,7245,142.0,True,9.373700231662951e-05,manhattan,142.0,True,0.0,0.1539463010012696,7,15,0.2,25,136.0,True,4.225352112676056,0.14830855999753112,63,success,[]
25,0.04076827499739011,6807,170.0,True,0.00010267100151395425,manhattan,141.0,True,17.058823529411764,0.15171966900015832,7,15,0.2,25,154.0,True,9.411764705882353,0.09918873599963263,64,success,[]
25,0.04470150899942382,7407,152.0,True,9.843700172496028e-05,manhattan,146.0,True,3.9473684210526314,0.14262326799871516,7,15,0.2,25,152.0,True,0.0,0.10071092799989856,65,success,[]
25,0.04428051300055813,7246,173.0,True,8.902300032787025e-05,manhattan,119.0,True,31.213872832369944,0.17855357499865931,7,15,0.2,25,129.0,True,25.43352601156069,0.13265415400019265,66,success,[]
25,0.037363925999670755,6808,146.0,True,0.00016188100198633038,manhattan,146.0,True,0.0,0.12908548499763128,7,15,0.2,25,146.0,True,0.0,0.10383335200094734,67,success,[]
25,0.038791668997873785,6846,137.0,True,8.531200001016259e-05,manhattan,137.0,True,0.0,0.14988085400182172,7,15,0.2,25,137.0,True,0.0,0.14095295399965835,68,success,[]
25,0.034527534000517335,5547,153.0,True,0.0001529120017949026,manhattan,128.0,True,16.33986928104575,0.22123095899951295,7,15,0.2,25,129.0,True,15.686274509803921,0.14356686500104843,69,success,[]
25,0.05216966000079992,8094,156.0,True,9.627200051909313e-05,manhattan,147.0,True,5.769230769230769,0.15223073899687734,7,15,0.2,25,151.0,True,3.205128205128205,0.11724298899935093,70,success,[]
